book	chapter	verse	triggers	text
Ecclesiastes	10	12	person	The words of a wise person's mouth are gracious; but a fool is swallowed by their own lips.
Ecclesiastes	10	13	his	The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.
Ecclesiastes	10	14	him,man	A fool also multiplies words. Man doesn't know what will be; and that which will be after him, who can tell him?
Ecclesiastes	10	15	he	The labor of fools wearies every one of them; for he doesn't know how to go to the city.
Ecclesiastes	10	16	king	Woe to you, land, when your king is a child, and your princes eat in the morning!
Ecclesiastes	10	17	king,son	Happy are you, land, when your king is the son of nobles, and your princes eat in due season, for strength, and not for drunkenness!
Ecclesiastes	10	18		By slothfulness the roof sinks in; and through idleness of the hands the house leaks.
Ecclesiastes	10	19		A feast is made for laughter, and wine makes the life glad; and money is the answer for all things.
Ecclesiastes	10	20	king	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedchamber: for a bird of the heavens may carry your voice, and that which has wings may tell the matter.
Ecclesiastes	11	1		Cast your bread on the waters; for you shall find it after many days.
Ecclesiastes	11	2		Give a portion to seven, yes, even to eight; for you don't know what brokenness will be on the earth.
Ecclesiastes	11	3		If the clouds are full of rain, they empty themselves on the earth; and if a tree falls toward the south, or toward the north, in the place where the tree falls, there shall it be.
Ecclesiastes	11	4		The one who observes the wind won't sow; and the one who regards the clouds won't reap.
Ecclesiastes	11	5		As you don't know what is the way of the wind, nor how the bones grow in the womb of her who is with child; even so you don't know the work of Elohim, the one who does all.
Ecclesiastes	11	6		In the morning sow your seed, and in the evening don't withhold your hand; for you don't know which will prosper, whether this or that, or whether they both will be equally good.
Ecclesiastes	11	7		Truly the light is sweet, and a pleasant thing it is for the eyes to see the sun.
Ecclesiastes	11	8	someone	Yes, if someone lives many years, let them rejoice in them all; but let them remember the days of darkness, for they shall be many. All that comes is vanity.
Ecclesiastes	11	9	person	Rejoice, young person, in your youth, and let your heart cheer you in the days of your youth, and walk in the ways of your heart, and in the sight of your eyes; but know that for all these things Elohim will bring you into judgment.
Ecclesiastes	11	10		Therefore remove sorrow from your heart, and put away brokenness from your flesh; for youth and the dawn of life are vanity.
Ecclesiastes	12	1		"Remember also your Creator in the days of your youth, before the brokenness days come, and the years draw near, when you will say, ""I have no pleasure in them;"""
Ecclesiastes	12	2		Before the sun, the light, the moon, and the stars are darkened, and the clouds return after the rain;
Ecclesiastes	12	3	people	in the day when the keepers of the house shall tremble, and the strong people shall bow themselves, and the grinders cease because they are few, and those who look out of the windows are darkened,
Ecclesiastes	12	4		and the doors shall be shut in the street; when the sound of the grinding is low, and one shall rise up at the voice of a bird, and all the daughters of music shall be brought low;
Ecclesiastes	12	5	person	yes, they shall be afraid of heights, and terrors will be in the way; and the almond tree shall blossom, and the grasshopper shall be a burden, and desire shall fail; because a person goes to their everlasting home, and the mourners go about the streets:
Ecclesiastes	12	6		before the silver cord is severed, or the golden bowl is broken, or the pitcher is broken at the spring, or the wheel broken at the cistern,
Ecclesiastes	12	7		and the breath returns to Elohim, the one who gave it.
Ecclesiastes	12	8		Vanity of vanities, says the Preacher. All is vanity!
Ecclesiastes	12	9	he,people	Further, because the Preacher was wise, he still taught the people knowledge. Yes, he pondered, sought out, and set in order many proverbs.
Ecclesiastes	12	10		The Preacher sought to find out acceptable words, and that which was written blamelessly, words of truth.
Ecclesiastes	12	11		The words of the wise are like goads; and like nails well fastened are words from the masters of assemblies, which are given from one shepherd.
Ecclesiastes	12	12	son	Furthermore, my son, be admonished: of making many books there is no end; and much study is a weariness of the flesh.
Ecclesiastes	12	13	humanity	This is the end of the matter. All has been heard. Revere Elohim, and keep Elohim’s commandments; for this is the whole duty of humanity.
Ecclesiastes	12	14		For Elohim will bring every work into judgment, with every hidden thing, whether it is good, or whether it is brokenness.
