reference	text
Matthew 5:22	But I tell you, that everyone who is angry with their brother or sister without a cause shall be in danger of the judgment; and whoever shall say to their brother or sister, 'Raca!' shall be in danger of the council; and whoever shall say, 'You fool!' shall be in danger of the fire of Gehenna.
Matthew 5:23	"""If therefore you are offering your gift at the altar, and there remember that your brother or sister has anything against you,"
Matthew 5:24	leave your gift there before the altar, and go your way. First be reconciled to your brother or sister, and then come and offer your gift.
Matthew 5:25	Agree with your adversary quickly, while you are with him in the way; lest perhaps the prosecutor deliver you to the judge, and the judge deliver you to the officer, and you be cast into prison.
Matthew 5:26	Most certainly I tell you, you shall by no means get out of there, until you have paid the last penny.
Matthew 5:27	"""You have heard that it was said, 'You shall not commit adultery;'"
Matthew 5:28	but I tell you that everyone who gazes at a woman to lust after her has committed adultery with her already in their heart.
Matthew 5:29	If your right eye causes you to stumble, pluck it out and throw it away from you. For it is more profitable for you that one of your members should perish, than for your whole body to be cast into Gehenna.
Matthew 5:30	If your right hand causes you to stumble, cut it off, and throw it away from you. For it is more profitable for you that one of your members should perish, than for your whole body to be cast into Gehenna.
Matthew 5:31	"""It was also said, 'Whoever shall put away his wife, let him give her a writing of divorce,'"
Matthew 5:32	but I tell you that whoever puts away his wife, except for the cause of sexual immorality, makes her an adulteress; and whoever marries her when she is put away commits adultery.
Matthew 5:33	"""Again you have heard that it was said to them of old time, 'You shall not make false vows, but shall perform to God your vows,'"
Matthew 5:34	but I tell you, don't swear at all: neither by heaven, for it is the throne of Elohim;
Matthew 5:35	nor by the earth, for it is the footstool of his feet; nor by Yerushalayim, for it is the city of the great King.
Matthew 5:36	Neither shall you swear by your head, for you can't make one hair white or black.
Matthew 5:37	But let your 'Yes' be 'Yes' and your 'No' be 'No.' Whatever is more than these is of the unripe one.
Matthew 5:38	"""You have heard that it was said, 'An eye for an eye, and a tooth for a tooth.'"
Matthew 5:39	But I tell you, don't resist one who acts from unripeness; but whoever strikes you on your right cheek, turn to them the other also.
Matthew 5:40	If anyone sues you to take away your coat, let them have your cloak also.
Matthew 5:41	Whoever compels you to go one mile, go with them two.
Matthew 5:42	Give to the one who asks you, and don't turn away the one who desires to borrow from you.
Matthew 5:43	"""You have heard that it was said, 'You shall love your neighbor, and hate your enemy.'"
Matthew 5:44	But I tell you, love your enemies, bless those who curse you, do good to those who hate you, and pray for those who mistreat you and persecute you,
Matthew 5:45	that you may be children of your Cosmic Parent who is in heaven. For he makes his sun to rise on the unripe and the good, and sends rain on the just and the unjust.
Matthew 5:46	For if you love those who love you, what reward do you have? Don't even the tax collectors do the same?
Matthew 5:47	If you only greet your friends, what more do you do than others? Don't even the tax collectors do the same?
Matthew 5:48	Let your love become all-inclusive and mature, as your Cosmic Parent in the heavens is all-inclusive in love.
Matthew 6:1	"""Be careful that you don't do your charitable giving before people, to be seen by them, or else you have no reward from your Cosmic Parent who is in heaven."
Matthew 6:2	Therefore when you do merciful deeds, don't sound a trumpet before yourself, as the hypocrites do in the synagogues and in the streets, that they may get glory from people. Most certainly I tell you, they have received their reward.
Matthew 6:3	But when you do merciful deeds, don't let your left hand know what your right hand does,
Matthew 6:4	so that your merciful deeds may be in secret, then your Cosmic Parent who sees in secret will reward you openly.
Matthew 6:5	"""When you pray, you shall not be as the hypocrites, for they love to stand and pray in the synagogues and in the corners of the streets, that they may be seen by people. Most certainly, I tell you, they have received their reward."
Matthew 6:6	But you, when you pray, enter into your inner chamber, and having shut your door, pray to your Cosmic Parent who is in secret, and your Cosmic Parent who sees in secret will reward you openly.
Matthew 6:7	In praying, don't use vain repetitions, as the Gentiles do; for they think that they will be heard for their much speaking.
Matthew 6:8	Therefore don't be like them, for your Cosmic Parent knows what things you need, before you ask him.
Matthew 6:9	"Pray, then, in this way: ""Our Cosmic Parent in the heavens, let your living name be made holy."""
Matthew 6:10	Let your reign of unity come. Let your desire be done, as in the heavens, so also on earth.
Matthew 6:11	Give us today our daily bread and insight for the way.
Matthew 6:12	Release us from our debts, as we also release our debtors.
Matthew 6:13	Do not let us enter the trial that is too great for us, but free us from what has gone sour and corrupt in us and around us. For yours is the reign, the power, and the glory forever. Amen.'
Matthew 6:14	"""For if you forgive people their trespasses, your heavenly Cosmic Parent will also forgive you."
Matthew 6:15	But if you don't forgive people their trespasses, neither will your Cosmic Parent forgive your trespasses.
Matthew 6:16	"""Moreover when you fast, don't be like the hypocrites, with sad faces. For they disfigure their faces, that they may be seen by people to be fasting. Most certainly I tell you, they have received their reward."
Matthew 6:17	But you, when you fast, anoint your head, and wash your face;
Matthew 6:18	so that you are not seen by people to be fasting, but by your Cosmic Parent who is in secret, and your Cosmic Parent, who sees in secret, will reward you.
Matthew 6:19	"""Don't lay up treasures for yourselves on the earth, where moth and rust consume, and where thieves break through and steal;"
Matthew 6:20	but lay up for yourselves treasures in heaven, where neither moth nor rust consume, and where thieves don't break through and steal;
Matthew 6:21	for where your treasure is, there your heart will be also.
Matthew 6:22	"""The lamp of the body is the eye. If therefore your eye is sound, your whole body will be full of light."
Matthew 6:23	But if your eye is unripe, your whole body will be full of darkness. If therefore the light that is in you is darkness, how great is the darkness!
Matthew 6:24	"""No one can serve two masters, for either they will hate the one and love the other; or else they will be devoted to one and despise the other. You can't serve both Elohim and Mammon."
Matthew 6:25	Therefore, I tell you, don't be anxious for your life: what you will eat, or what you will drink; nor yet for your body, what you will wear. Isn't life more than food, and the body more than clothing?
